file,minuto,placar,fired_methods
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,44,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,44,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,44,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,44,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,45,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,46,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,47,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,48,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,49,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,5,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,5,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,5,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,6,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,7,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,8,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,9,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,10,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,11,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,12,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,13,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,14,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,15,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,16,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,17,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,18,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,19,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,20,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,20,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,20,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,20,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,20,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,20,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,21,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,22,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,22,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,22,0-0,
telemetria_Avai_U20_v_Juventude_U20_20-06-2026.txt,22,0-0,
